treat,lninc,gender,age,age2,hukou,fedu,medu,party
0,6.9077554,0,68,4624,1,0,0,0
0,6.5510802,1,38,1444,1,9,12,0
0,6.0112672,1,57,3249,1,6,0,0
0,6.0112672,1,60,3600,1,6,0,0
0,6.0063534,1,56,3136,1,0,0,0
0,7.6962128,0,35,1225,1,0,0,0
0,6.2146082,0,37,1369,0,6,6,0
0,7.495542,0,43,1849,1,6,6,0
0,7.6009026,1,23,529,0,12,12,0
0,6.7452364,1,52,2704,1,0,6,0
1,7.4383836,1,22,484,1,9,12,0
1,,1,26,676,1,9,9,1
0,6.0112672,1,65,4225,1,0,0,0
0,6.6846118,0,43,1849,1,6,0,0
0,5.9558372,0,56,3136,1,6,0,0
1,7.6009026,1,22,484,1,12,9,0
0,7.495542,0,23,529,1,9,9,0
1,,0,21,441,1,9,9,0
1,7.377759,1,31,961,1,6,6,0
1,,1,30,900,1,12,9,0
0,5.9914646,1,58,3364,1,0,0,0
0,5.7620516,0,46,2116,1,6,0,0
1,7.377759,0,22,484,1,14,14,0
0,7.1701198,0,51,2601,1,0,0,0
0,7.3132205,1,49,2401,1,9,6,0
0,6.6333184,1,51,2601,1,6,0,0
0,6.0520892,1,60,3600,1,0,0,0
0,6.1092477,1,67,4489,1,0,0,0
1,,1,23,529,1,9,9,0
0,8.5171928,0,44,1936,1,6,6,0
0,6.3456364,0,37,1369,1,6,6,0
1,8.0063677,0,26,676,1,14,9,1
0,6.1092477,1,48,2304,1,0,0,0
0,6.1312265,1,68,4624,1,,0,0
0,6.8243737,1,45,2025,1,0,6,0
0,6.3969297,1,39,1521,1,0,0,0
0,6.84588,0,59,3481,1,6,0,0
0,7.5496092,0,29,841,1,9,12,0
1,8.5171928,0,52,2704,1,12,12,1
0,6.3456364,1,46,2116,1,0,0,0
0,5.9914646,1,49,2401,1,0,0,0
0,6.9077554,1,45,2025,1,9,9,0
0,6.3969297,1,51,2601,1,0,0,0
1,6.9077554,1,21,441,1,12,12,0
1,7.6009026,1,25,625,1,9,9,0
